Date,Symbol,Action,Entry,Exit,Result,Capital
2025-04-16 09:33:15,INFY,FORCED-EXIT,1418.6,1419.8,WIN,1.2,9032.0,Crash Exit,Hybrid Strategy
2025-04-16 09:33:15,ICICIBANK,FORCED-EXIT,1355.1,1355.4,WIN,0.3,9038.3,Crash Exit,Hybrid Strategy
2025-04-16 10:16:59,ICICIBANK,EXIT-SL,1355.9,1349.8,LOSS,-6.1,8871.9,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-16 15:20:36,RELIANCE,AUTO-EXIT,1234.8,1238.8,WIN,4.0,8915.9,Market Close,VWAP Reversal (VWAP Strategy)
2025-04-16 15:20:36,TCS,AUTO-EXIT,3259.9,3274.4,WIN,14.5,9031.9,Market Close,VWAP Reversal (VWAP Strategy)
2025-04-16 15:20:36,RELIANCE,FORCED-EXIT,1234.8,1238.4,WIN,3.6,9071.5,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-16 15:20:36,TCS,FORCED-EXIT,3259.9,3274.4,WIN,14.5,9187.5,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-17 10:25:49,ICICIBANK,EXIT-SL,1379.6,1376.4,LOSS,-3.2,8936.0,Stop Loss Hit,Opening Range Breakout (ORB Strategy)
2025-04-17 15:20:50,HDFCBANK,AUTO-EXIT,1892.8,1906.7,WIN,13.9,9144.5,Market Close,Opening Range Breakout (ORB Strategy)
2025-04-17 15:20:50,ICICIBANK,AUTO-EXIT,1379.9,1408.1,WIN,28.2,9708.5,Market Close,Opening Range Breakout (ORB Strategy)
2025-04-17 15:20:50,HDFCBANK,FORCED-EXIT,1892.8,1906.7,WIN,13.9,9917.0,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-17 15:20:50,ICICIBANK,FORCED-EXIT,1379.9,1408.1,WIN,28.2,10481.0,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-21 15:20:23,RELIANCE,AUTO-EXIT,1279,1295.1,WIN,16.1,9177.1,Market Close,Opening Range Breakout (ORB Strategy)
2025-04-21 15:20:23,TCS,AUTO-EXIT,3315.7,3323.9,WIN,8.2,9242.7,Market Close,Opening Range Breakout (ORB Strategy)
2025-04-21 15:20:23,INFY,AUTO-EXIT,1453.7,1449.7,LOSS,-4.0,9162.7,Market Close,VWAP Reversal (VWAP Strategy)
2025-04-21 15:20:23,RELIANCE,FORCED-EXIT,1279,1295.3,WIN,16.3,9342.0,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-21 15:20:23,TCS,FORCED-EXIT,3315.7,3323.9,WIN,8.2,9407.6,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-21 15:20:24,INFY,FORCED-EXIT,1453.7,1449.7,LOSS,-4.0,9327.6,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-22 09:55:52,TCS,EXIT-SL,3326.6,3306,LOSS,-20.6,8835.2,Stop Loss Hit,Opening Range Breakout (ORB Strategy)
2025-04-22 15:18:03,HDFCBANK,AUTO-EXIT,1951,1960.5,WIN,9.5,8968.2,Market Close,Opening Range Breakout (ORB Strategy)
2025-04-22 15:18:03,ICICIBANK,AUTO-EXIT,1412.9,1414.1,WIN,1.2,8992.2,Market Close,VWAP Reversal (VWAP Strategy)
2025-04-22 15:18:03,HDFCBANK,FORCED-EXIT,1951,1960.6,WIN,9.6,9126.6,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-22 15:18:03,ICICIBANK,FORCED-EXIT,1412.9,1414.1,WIN,1.2,9150.6,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-23 14:41:44,TCS,FORCED-EXIT,3413.4,3413.4,WIN,0.0,9000.0,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-23 14:41:44,INFY,FORCED-EXIT,1473.5,1473.8,WIN,0.3,9006.0,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-23 14:41:44,ICICIBANK,FORCED-EXIT,1424.9,1424.3,LOSS,-0.6,8994.0,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-24 09:35:42,RELIANCE,FORCED-EXIT,1296.6,1296.4,LOSS,-0.2,8997.8,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-24 09:35:42,TCS,FORCED-EXIT,3405.4,3409.7,WIN,4.3,9032.2,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-24 09:35:42,HDFCBANK,FORCED-EXIT,1919.6,1922.8,WIN,3.2,9077.0,Crash Exit,Opening Range Breakout (ORB Strategy)
2025-04-25 14:28:22,INFY,EXIT-SL,1493.7,1488.5,LOSS,-5.2,8901.2,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
